Title,Author,Rating
The Breach,Patrick Lee,0.9
Ghost Country,Patrick Lee,
Deep Sky,Patrick Lee,
The Yiddish Policeman's Union,Michael Chabon,
The Amazing Adventures of Kavalier and Clay,Michael Chabon,
Assassin's Apprentice,Robin Hobb,
Royal Assassin,Robin Hobb,
Assassin's Quest,Robin Hobb,
A Divided Spy,Charles Cumming,
Red Rising,Pierce Brown,
Golden Son,Pierce Brown,
Morning Star,Pierce Brown,
Iron Gold,Pierce Brown,
Dark Age,Pierce Brown,
Gorky Park,Martin Cruz Smith,
The Ruin of Kings,Jenn Lyons,
Dune,Frank Herbert,
The Cuckoo's Calling,Robert Galbraith,
The Silkworm,Robert Galbraith,
Career of Evil,Robert Galbraith,
Lethal White,Robert Galbraith,
Troubled Blood,Robert Galbraith,
The Ink Black Heart,Robert Galbraith,
Leviathan Wakes,James S.A. Corey,
Recursion,Blake Crouch,
The Second Sleep,Robert Harris,
Foundation,Isaac Asimov,
Hail Mary,Andy Weir,
The Eye of the World,Robert Jordan,
The Great Hunt,Robert Jordan,
The Dragon Reborn,Robert Jordan,
The Remains of the Day,Kazuo Ishiguro,
The Builders,Daniel Polansky,
Hyperion,Dan Simmons,
Replay,Ken Grimwood,
The Peacemaker's Code,Deepak Mahotra,0.5
