Title,Author,Rating
The Blade Itself,Joe Abercrombie,7.2
Before They Are Hanged,Joe Abercrombie,7.4
Last Argument of Kings,Joe Abercrombie,7.3
The Magicians,Lev Grossman,7.9
The Magician King,Lev Grossman,7.7
The Magician's Land,Lev Grossman,6.7
The Three-Body Probem,Cixin Liu,8.1
The Dark Forest,Cixin Liu,7.7
Death's End,Cixin Liu,7.8
Artemis,Andy Weir,8.2
Titus Groan,Mervyn Peake,5.6
The Terror,Dan Simmons,6.1
The Breach,Patrick Lee,8.3
Ghost Country,Patrick Lee,7.7
Deep Sky,Patrick Lee,8
The Yiddish Policeman's Union,Michael Chabon,NA
The Amazing Adventures of Kavalier and Clay,Michael Chabon,8.2
Assassin's Apprentice,Robin Hobb,8.8
Royal Assassin,Robin Hobb,8.8
Assassin's Quest,Robin Hobb,8.9
Harry Potter and the Sorcerer's Stone,J.K. Rowling,8.9
Harry Potter and the Chamber of Secrets,J.K. Rowling,8.8
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,9.3
Harry Potter and the Goblet of Fire,J.K. Rowling,9.1
Harry Potter and the Order of the Phoenix,J.K. Rowling,9
Harry Potter and the Half Blood Prince,J.K. Rowling,9.5
Harry Potter and the Deathly Hallows,J.K. Rowling,9.7
A Divided Spy,Charles Cumming,7.6
Red Rising,Pierce Brown,8.7
Golden Son,Pierce Brown,8.6
Morning Star,Pierce Brown,8.8
Iron Gold,Pierce Brown,8.7
Dark Age,Pierce Brown,9
Gorky Park,Martin Cruz Smith,7.8
The Ruin of Kings,Jenn Lyons,5.9
Dune,Frank Herbert,8.1
The Cuckoo's Calling,Robert Galbraith,6.4
The Silkworm,Robert Galbraith,7.3
Career of Evil,Robert Galbraith,7.4
Lethal White,Robert Galbraith,7.2
Troubled Blood,Robert Galbraith,7.5
The Ink Black Heart,Robert Galbraith,6.9
Leviathan Wakes,James S.A. Corey,7.8
Recursion,Blake Crouch,8.4
The Second Sleep,Robert Harris,7.4
Foundation,Isaac Asimov,8
Hail Mary,Andy Weir,8.3
The Eye of the World,Robert Jordan,7.5
The Great Hunt,Robert Jordan,7.6
The Dragon Reborn,Robert Jordan,7.3
The Remains of the Day,Kazuo Ishiguro,7.7
The Builders,Daniel Polansky,5.9
Hyperion,Dan Simmons,
Replay,Ken Grimwood,7.9
The Peacemaker's Code,Deepak Mahotra,1.5
Neverwhere,Neil Gaiman,8.8
